Search_method Problem Max_evals Run Score
Hill-Climber-LexiScore knapPI_13_200_1000_4 1000 29 3680
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 0 9571
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 1 10237
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 2 9477
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 3 10438
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 4 9750
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 5 9640
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 6 9119
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 7 9535
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 8 9674
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 9 9599
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 10 10395
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 11 9580
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 12 9901
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 13 9861
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 14 10436
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 15 9878
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 16 9889
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 17 10267
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 18 9948
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 19 9747
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 20 9387
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 21 10307
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 22 9168
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 23 10323
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 24 9524
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 25 10233
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 26 9497
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 27 10443
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 28 9658
Hill-Climber-LexiScore knapPI_16_200_1000_4 1000 29 9504
hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1280
hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1280
hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1240
hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1280
hill_climber_penalized_score knapPI_11_20_1000_4 1000 10 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 11 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 12 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 13 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 14 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 15 1240
hill_climber_penalized_score knapPI_11_20_1000_4 1000 16 1440
hill_climber_penalized_score knapPI_11_20_1000_4 1000 17 1160
hill_climber_penalized_score knapPI_11_20_1000_4 1000 18 1280
hill_climber_penalized_score knapPI_11_20_1000_4 1000 19 1440
hill_climber_penalized_score knapPI_11_20_1000_4 1000 20 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 21 1360
hill_climber_penalized_score knapPI_11_20_1000_4 1000 22 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 23 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 24 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 25 1240
hill_climber_penalized_score knapPI_11_20_1000_4 1000 26 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 27 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 28 1160
hill_climber_penalized_score knapPI_11_20_1000_4 1000 29 1320
hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 880
hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 863
hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 845
hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 10 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 11 872
hill_climber_penalized_score knapPI_13_20_1000_4 1000 12 880
hill_climber_penalized_score knapPI_13_20_1000_4 1000 13 890
hill_climber_penalized_score knapPI_13_20_1000_4 1000 14 890
hill_climber_penalized_score knapPI_13_20_1000_4 1000 15 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 16 845
hill_climber_penalized_score knapPI_13_20_1000_4 1000 17 880
hill_climber_penalized_score knapPI_13_20_1000_4 1000 18 872
hill_climber_penalized_score knapPI_13_20_1000_4 1000 19 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 20 890
hill_climber_penalized_score knapPI_13_20_1000_4 1000 21 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 22 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 23 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 24 872
hill_climber_penalized_score knapPI_13_20_1000_4 1000 25 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 26 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 27 907
hill_climber_penalized_score knapPI_13_20_1000_4 1000 28 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 29 889
hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2893
hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 1858
hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2597
hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2505
hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2651
hill_climber_penalized_score knapPI_16_20_1000_4 1000 5 2586
hill_climber_penalized_score knapPI_16_20_1000_4 1000 6 2292
hill_climber_penalized_score knapPI_16_20_1000_4 1000 7 2453
hill_climber_penalized_score knapPI_16_20_1000_4 1000 8 2433
hill_climber_penalized_score knapPI_16_20_1000_4 1000 9 2557
hill_climber_penalized_score knapPI_16_20_1000_4 1000 10 2206
hill_climber_penalized_score knapPI_16_20_1000_4 1000 11 2651
hill_climber_penalized_score knapPI_16_20_1000_4 1000 12 2303
hill_climber_penalized_score knapPI_16_20_1000_4 1000 13 2597
hill_climber_penalized_score knapPI_16_20_1000_4 1000 14 2449
hill_climber_penalized_score knapPI_16_20_1000_4 1000 15 2893
hill_climber_penalized_score knapPI_16_20_1000_4 1000 16 2893
hill_climber_penalized_score knapPI_16_20_1000_4 1000 17 2586
hill_climber_penalized_score knapPI_16_20_1000_4 1000 18 2550
hill_climber_penalized_score knapPI_16_20_1000_4 1000 19 2449
hill_climber_penalized_score knapPI_16_20_1000_4 1000 20 2557
hill_climber_penalized_score knapPI_16_20_1000_4 1000 21 2597
hill_climber_penalized_score knapPI_16_20_1000_4 1000 22 2682
hill_climber_penalized_score knapPI_16_20_1000_4 1000 23 2210
hill_climber_penalized_score knapPI_16_20_1000_4 1000 24 2893
hill_climber_penalized_score knapPI_16_20_1000_4 1000 25 1858
hill_climber_penalized_score knapPI_16_20_1000_4 1000 26 2099
hill_climber_penalized_score knapPI_16_20_1000_4 1000 27 2586
hill_climber_penalized_score knapPI_16_20_1000_4 1000 28 2597
hill_climber_penalized_score knapPI_16_20_1000_4 1000 29 2593
hill_climber_penalized_score knapPI_11_200_1000_4 1000 0 4620
hill_climber_penalized_score knapPI_11_200_1000_4 1000 1 -5814
hill_climber_penalized_score knapPI_11_200_1000_4 1000 2 4460
hill_climber_penalized_score knapPI_11_200_1000_4 1000 3 4700
hill_climber_penalized_score knapPI_11_200_1000_4 1000 4 4780
hill_climber_penalized_score knapPI_11_200_1000_4 1000 5 -4706
hill_climber_penalized_score knapPI_11_200_1000_4 1000 6 4320
hill_climber_penalized_score knapPI_11_200_1000_4 1000 7 4900
hill_climber_penalized_score knapPI_11_200_1000_4 1000 8 4200
hill_climber_penalized_score knapPI_11_200_1000_4 1000 9 4580
hill_climber_penalized_score knapPI_11_200_1000_4 1000 10 -4567
hill_climber_penalized_score knapPI_11_200_1000_4 1000 11 4340
hill_climber_penalized_score knapPI_11_200_1000_4 1000 12 4620
hill_climber_penalized_score knapPI_11_200_1000_4 1000 13 4220
hill_climber_penalized_score knapPI_11_200_1000_4 1000 14 4260
hill_climber_penalized_score knapPI_11_200_1000_4 1000 15 4200
hill_climber_penalized_score knapPI_11_200_1000_4 1000 16 4020
hill_climber_penalized_score knapPI_11_200_1000_4 1000 17 4300
hill_climber_penalized_score knapPI_11_200_1000_4 1000 18 4540
hill_climber_penalized_score knapPI_11_200_1000_4 1000 19 -4778
hill_climber_penalized_score knapPI_11_200_1000_4 1000 20 4420
hill_climber_penalized_score knapPI_11_200_1000_4 1000 21 4740
hill_climber_penalized_score knapPI_11_200_1000_4 1000 22 -6029
hill_climber_penalized_score knapPI_11_200_1000_4 1000 23 4540
hill_climber_penalized_score knapPI_11_200_1000_4 1000 24 4460
hill_climber_penalized_score knapPI_11_200_1000_4 1000 25 4240
hill_climber_penalized_score knapPI_11_200_1000_4 1000 26 4340
hill_climber_penalized_score knapPI_11_200_1000_4 1000 27 4120
hill_climber_penalized_score knapPI_11_200_1000_4 1000 28 4660
hill_climber_penalized_score knapPI_11_200_1000_4 1000 29 4300
hill_climber_penalized_score knapPI_13_200_1000_4 1000 0 3620
hill_climber_penalized_score knapPI_13_200_1000_4 1000 1 3602
hill_climber_penalized_score knapPI_13_200_1000_4 1000 2 3593
